insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (1, null, '31/08/1992', 'Pip', 'Vaines', 91508);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (2, 1 , '15/05/1994', 'Marco', 'Prosch', 161821);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (3, 1 , '18/06/2018', 'Gleda', 'Shears', 199997);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (4, 3 , '12/04/1999', 'Hephzibah', 'Alvarado', 104144);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (5, 2 , '18/09/2007', 'Jaye', 'Harber', 163140);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (6, 1 , '14/09/2000', 'Townie', 'Quinion', 184692);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (7, 5 , '01/06/1993', 'Brandise', 'Perris', 178397);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (8, 1 , '02/04/2011', 'Carla', 'Storkes', 107271);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (9, 3 , '23/06/1997', 'Amandi', 'Pietasch', 88063);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (10, 4 , '16/04/2016', 'Lindi', 'Braine', 119910);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (11, 3 , '25/08/2013', 'Tania', 'Lawday', 126711);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (12, 1 , '23/11/2007', 'Ximenes', 'MacCostye', 177595);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (13, 8 , '24/10/2006', 'Vivyan', 'McLaughlan', 177036);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (14, 9 , '12/11/2003', 'Mireille', 'de''-Ancy Willis', 89999);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (15, 8 , '01/12/2011', 'Jorey', 'Kondratovich', 169924);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (16, 6 , '06/10/2011', 'Fianna', 'Aers', 154913);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (17, 15 , '07/02/2016', 'Bride', 'McKitterick', 85804);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (18, 13 , '20/10/2016', 'Barclay', 'Royse', 179009);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (19, 10 , '16/11/2003', 'Yorgos', 'Kaesmans', 91865);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (20, 18 , '28/07/2015', 'Roddie', 'Kitchinham', 179375);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (21, 14 , '18/01/1994', 'Sylvia', 'Sheara', 85761);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (22, 19 , '02/04/2012', 'Karalynn', 'Hunn', 115990);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (23, 2 , '11/08/1996', 'Kathie', 'Benoit', 112056);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (24, 6 , '19/04/2013', 'Violette', 'Feronet', 150391);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (25, 24 , '29/02/1996', 'Josselyn', 'Duddy', 139659);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (26, 7 , '19/04/2009', 'Kevin', 'Cottee', 91137);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (27, 23 , '24/08/2009', 'Haily', 'Matiewe', 139610);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (28, 23 , '22/03/2012', 'Annalee', 'Filby', 149632);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (29, 26 , '20/06/2017', 'Phil', 'Allwright', 140286);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (30, 26 , '17/12/1997', 'Denver', 'Digan', 111523);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (31, 24 , '03/12/2000', 'Dasya', 'Lawerence', 157201);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (32, 26 , '06/02/1995', 'Bibby', 'Fitter', 130678);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (33, 21 , '09/09/2003', 'Zared', 'Wardle', 126183);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (34, 18 , '27/05/1996', 'Shannan', 'Pilpovic', 153312);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (35, 11 , '01/03/2001', 'Daren', 'Van de Vlies', 136516);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (36, 7 , '16/02/1998', 'Montgomery', 'McCobb', 126126);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (37, 6 , '26/03/2010', 'Aylmar', 'Woolvin', 86298);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (38, 17 , '13/01/1997', 'Kira', 'Macveigh', 160653);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (39, 19 , '29/11/2008', 'Koo', 'Niles', 127300);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (40, 1 , '18/07/1993', 'Nichols', 'Girardoni', 173722);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (41, 37 , '04/07/2009', 'Clarisse', 'Moynham', 95786);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (42, 2 , '29/08/1990', 'Godfrey', 'Carless', 161893);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (43, 6 , '06/05/1999', 'Basia', 'Rawcliff', 167561);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (44, 10 , '14/04/2013', 'Elisa', 'Foddy', 168936);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (45, 16 , '03/05/2018', 'Lorilyn', 'Aloshechkin', 154524);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (46, 11 , '12/04/2002', 'Eula', 'Buddock', 179543);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (47, 22 , '27/09/2017', 'Blythe', 'Denney', 152350);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (48, 40 , '17/12/2010', 'Kerianne', 'Bliven', 72920);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (49, 18 , '17/06/1992', 'Cob', 'Hopkynson', 157763);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (50, 34 , '02/06/2006', 'Vasilis', 'Mapes', 176352);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (51, 6 , '05/11/1991', 'Dorrie', 'Chipperfield', 147462);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (52, 18 , '08/02/2009', 'Ronda', 'Gwin', 189922);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (53, 50 , '08/08/1991', 'Natty', 'Gwynn', 152570);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (54, 13 , '30/10/2016', 'Lavina', 'Le Bosse', 85384);
insert into employees (id, manager_id, date_of_joining, name, last_name, salary) values (55, 15 , '17/05/2012', 'Zorah', 'Tuddenham', 105726);
